source_domain,target_domain,structure,test_images,hd95_unit,hd95_excluded_total,dice_mean,dice_seed_std,dice_ci_low,dice_ci_high,dice_seed_42,dice_seed_43,dice_seed_44,dice_seed_45,dice_seed_46,iou_mean,iou_seed_std,iou_ci_low,iou_ci_high,iou_seed_42,iou_seed_43,iou_seed_44,iou_seed_45,iou_seed_46,hd95_mean,hd95_seed_std,hd95_ci_low,hd95_ci_high,hd95_seed_42,hd95_seed_43,hd95_seed_44,hd95_seed_45,hd95_seed_46
drishti_gs,refuge_canon_val,disc,50,letterboxed-grid pixels,0,0.858207,0.0133825,0.841591,0.874824,0.840357,0.869578,0.847348,0.866578,0.867175,0.771883,0.0171814,0.750549,0.793216,0.749373,0.783951,0.75725,0.784508,0.784332,27.9468,6.40113,19.9987,35.8948,36.1308,23.7381,29.2734,30.9256,19.6659
drishti_gs,refuge_canon_val,cup,50,letterboxed-grid pixels,0,0.666112,0.0568655,0.595504,0.73672,0.657047,0.763477,0.650009,0.645937,0.61409,0.526628,0.0662274,0.444395,0.60886,0.514044,0.640091,0.511166,0.501592,0.466245,24.5018,5.19275,18.0541,30.9494,30.9358,18.6818,21.0674,28.8117,23.0122
drishti_gs,refuge_zeiss,disc,50,letterboxed-grid pixels,0,0.837166,0.0107701,0.823793,0.850539,0.826345,0.835046,0.84281,0.85273,0.828902,0.748103,0.0132704,0.731625,0.76458,0.735814,0.745987,0.754715,0.767408,0.73659,27.5097,5.42816,20.7698,34.2497,25.1569,36.2583,28.3912,21.8058,25.9365
drishti_gs,refuge_zeiss,cup,50,letterboxed-grid pixels,0,0.559753,0.0292489,0.523436,0.596071,0.570066,0.576105,0.585471,0.55609,0.511035,0.405708,0.0295986,0.368956,0.442459,0.4139,0.423338,0.433228,0.400788,0.357285,26.1429,3.77012,21.4616,30.8241,25.5171,28.2671,26.9341,20.0632,29.9327
drishti_gs,rim_one_dl,disc,50,native pixels,0,0.104289,0.0344486,0.0615153,0.147062,0.0576414,0.0800023,0.113736,0.134191,0.135874,0.055896,0.0187785,0.0325794,0.0792125,0.0306266,0.0424764,0.0609337,0.0723216,0.0731216,174.562,17.9956,152.217,196.906,206.669,168.227,164.878,167.271,165.764
drishti_gs,rim_one_dl,cup,50,native pixels,0,0.133077,0.119952,-0.0158631,0.282018,0.0210102,0.103965,0.0312301,0.208528,0.300654,0.0837541,0.0786008,-0.0138416,0.18135,0.0112084,0.0615369,0.0197795,0.129476,0.19677,166.514,67.2613,82.9983,250.03,258.799,176.421,195.09,108.713,93.5475
refuge_canon_val,drishti_gs,disc,50,letterboxed-grid pixels,0,0.879274,0.0225357,0.851292,0.907256,0.859522,0.879115,0.903107,0.854231,0.900395,0.798347,0.0354135,0.754375,0.842319,0.770939,0.796022,0.833347,0.756848,0.834578,47.4542,14.7341,29.1594,65.7491,46.7519,45.3502,43.2384,71.2265,30.7042
refuge_canon_val,drishti_gs,cup,50,letterboxed-grid pixels,0,0.703331,0.0357209,0.658978,0.747684,0.682164,0.714791,0.748672,0.655233,0.715795,0.563573,0.042134,0.511257,0.615889,0.541065,0.574982,0.615718,0.504953,0.581148,31.5878,17.1321,10.3155,52.8602,26.1029,29.5314,20.3019,61.4358,20.5672
refuge_canon_val,refuge_zeiss,disc,50,letterboxed-grid pixels,0,0.891311,0.00976824,0.879182,0.90344,0.874698,0.90004,0.892299,0.8963,0.893217,0.82063,0.0126459,0.804928,0.836332,0.798853,0.829259,0.825954,0.828543,0.820541,27.6695,6.90447,19.0965,36.2426,27.7502,33.801,16.1175,31.9795,28.6995
refuge_canon_val,refuge_zeiss,cup,50,letterboxed-grid pixels,0,0.760113,0.0199297,0.735367,0.784859,0.758096,0.777178,0.777375,0.759346,0.728571,0.629333,0.0254033,0.597791,0.660876,0.627538,0.650518,0.648672,0.63239,0.587549,13.3952,3.16238,9.46862,17.3218,10.2815,17.9291,13.8681,14.4154,10.482
refuge_canon_val,rim_one_dl,disc,50,native pixels,0,0.070951,0.0110167,0.057272,0.0846301,0.0579956,0.0779863,0.0853028,0.063087,0.0703836,0.0370178,0.00589687,0.0296959,0.0443398,0.0301343,0.0407168,0.0447749,0.0328078,0.0366553,172.708,13.4934,155.954,189.462,163.991,166.337,158.871,188.148,186.193
refuge_canon_val,rim_one_dl,cup,50,native pixels,0,0.0772939,0.0482755,0.0173519,0.137236,0.00863934,0.105734,0.106477,0.0448139,0.120805,0.0453494,0.0295666,0.00863761,0.0820612,0.0045191,0.0612282,0.0605897,0.0247289,0.0756812,179.298,36.3556,134.156,224.439,228.14,131.239,164.418,197.985,174.706
refuge_zeiss,drishti_gs,disc,50,letterboxed-grid pixels,0,0.727259,0.0790452,0.629111,0.825406,0.614291,0.699999,0.771305,0.824959,0.725738,0.613181,0.0894242,0.502146,0.724215,0.492376,0.577487,0.669031,0.726492,0.600518,85.6968,32.1247,45.8088,125.585,118.553,112.125,87.4728,39.6331,70.6992
refuge_zeiss,drishti_gs,cup,50,letterboxed-grid pixels,3,0.474512,0.0386501,0.426522,0.522503,0.412601,0.46138,0.495027,0.507362,0.49619,0.336389,0.0321768,0.296436,0.376342,0.284526,0.325447,0.355179,0.360661,0.356132,43.2441,5.39973,36.5395,49.9488,49.9292,45.2319,40.6141,35.5961,44.8493
refuge_zeiss,refuge_canon_val,disc,50,letterboxed-grid pixels,0,0.732706,0.0721919,0.643068,0.822344,0.612024,0.726512,0.793334,0.779504,0.752156,0.626088,0.0757591,0.53202,0.720155,0.501508,0.618499,0.695917,0.674004,0.64051,93.8765,22.1565,66.3656,121.387,129.662,90.5939,82.8737,70.4766,95.7758
refuge_zeiss,refuge_canon_val,cup,50,letterboxed-grid pixels,4,0.669624,0.0870159,0.561579,0.777669,0.529146,0.669198,0.752013,0.666843,0.73092,0.546368,0.0826514,0.443743,0.648994,0.423694,0.543393,0.633553,0.521294,0.609908,41.3277,23.9093,11.6404,71.0149,68.019,65.8048,20.4937,19.8001,32.5206
refuge_zeiss,rim_one_dl,disc,50,native pixels,0,0.0825764,0.0582999,0.0101876,0.154965,0.179108,0.0385417,0.034593,0.0767552,0.0838838,0.0442954,0.0330409,0.00326965,0.0853211,0.0995065,0.019837,0.0177672,0.0402256,0.0441407,173.299,7.71972,163.714,182.885,162.648,182.354,172.974,169.733,178.786
refuge_zeiss,rim_one_dl,cup,50,native pixels,2,0.057423,0.0242685,0.0272896,0.0875564,0.0701384,0.0511864,0.0191846,0.0635879,0.0830177,0.0326629,0.0142842,0.0149267,0.0503991,0.0396747,0.0299569,0.0100831,0.0353633,0.0482363,167.665,40.6128,117.237,218.092,122.863,181.357,226.381,170.806,136.917
rim_one_dl,drishti_gs,disc,50,letterboxed-grid pixels,0,0.12067,0.00267912,0.117344,0.123997,0.118741,0.122147,0.121757,0.117081,0.123626,0.0644,0.00151347,0.0625208,0.0662793,0.0632946,0.0652351,0.0650297,0.062379,0.0660619,214.389,3.19352,210.424,218.354,218.546,211.769,217.111,212.556,211.963
rim_one_dl,drishti_gs,cup,50,letterboxed-grid pixels,0,0.415684,0.0962211,0.29621,0.535159,0.401162,0.529021,0.493195,0.292704,0.362339,0.2794,0.0822935,0.177219,0.38158,0.264224,0.379847,0.343807,0.177928,0.231192,99.2235,42.5914,46.3393,152.108,103.992,48.2358,64.165,146.987,132.738
rim_one_dl,refuge_canon_val,disc,50,letterboxed-grid pixels,0,0.0885928,0.00739746,0.0794076,0.097778,0.0790132,0.0972885,0.0881512,0.0842339,0.0942771,0.0464859,0.00406632,0.0414369,0.0515349,0.0412548,0.0512866,0.0462066,0.044066,0.0496156,271.201,9.93246,258.868,283.534,273.704,278.732,273.925,275.843,253.803
rim_one_dl,refuge_canon_val,cup,50,letterboxed-grid pixels,0,0.157591,0.0609957,0.0818545,0.233327,0.111547,0.163671,0.242879,0.0878981,0.181958,0.0899161,0.0387844,0.0417589,0.138073,0.0605628,0.0925074,0.145153,0.0465923,0.104764,154.319,44.2832,99.3341,209.304,178.269,123.887,91.6209,185.726,192.092
rim_one_dl,refuge_zeiss,disc,50,letterboxed-grid pixels,0,0.0789074,0.00499679,0.072703,0.0851117,0.0716874,0.0842613,0.0769573,0.0788162,0.0828147,0.0411404,0.00272396,0.0377581,0.0445226,0.0372206,0.0440897,0.0400657,0.041074,0.0432517,311.387,12.2186,296.216,326.559,312.954,313.707,297.114,303.704,329.459
rim_one_dl,refuge_zeiss,cup,50,letterboxed-grid pixels,0,0.164,0.053133,0.0980271,0.229974,0.102678,0.220602,0.218918,0.133775,0.144029,0.0936183,0.0333952,0.0521526,0.135084,0.0566519,0.128717,0.129346,0.0741553,0.0792214,134.766,54.3697,67.2567,202.274,217.308,84.403,86.8303,137.508,147.78
