kind,held_out_domain,structure,test_images,hd95_unit,hd95_excluded_total,dice_mean,dice_seed_std,dice_ci_low,dice_ci_high,iou_mean,iou_seed_std,iou_ci_low,iou_ci_high,hd95_mean,hd95_seed_std,hd95_ci_low,hd95_ci_high,arm_a,arm_b,dice_mean_a,dice_mean_b,mean_difference,median_difference,method,statistic,p_value,p_adjusted,significant
domain_summary,drishti_gs,disc,50,letterboxed-grid pixels,0,0.785255,0.0386083,0.737316,0.833194,0.687155,0.0433409,0.63334,0.74097,67.4383,33.3005,26.0903,108.786,,,,,,,,,,,
domain_summary,drishti_gs,cup,50,letterboxed-grid pixels,0,0.646088,0.0432193,0.592424,0.699752,0.495127,0.0508094,0.432039,0.558216,24.9263,6.53575,16.8111,33.0415,,,,,,,,,,,
domain_summary,refuge_canon_val,disc,50,letterboxed-grid pixels,0,0.837014,0.0487471,0.776487,0.897542,0.75001,0.056449,0.679919,0.8201,44.7499,19.2221,20.8825,68.6173,,,,,,,,,,,
domain_summary,refuge_canon_val,cup,50,letterboxed-grid pixels,0,0.648628,0.064959,0.567971,0.729285,0.507141,0.0711448,0.418803,0.595479,22.9268,9.52455,11.1005,34.7531,,,,,,,,,,,
domain_summary,refuge_zeiss,disc,50,letterboxed-grid pixels,0,0.821246,0.0207084,0.795533,0.846959,0.727498,0.0224142,0.699667,0.755329,34.4941,9.23086,23.0324,45.9557,,,,,,,,,,,
domain_summary,refuge_zeiss,cup,50,letterboxed-grid pixels,0,0.572941,0.0110128,0.559267,0.586615,0.418417,0.0103203,0.405602,0.431231,25.6995,4.32938,20.3239,31.0751,,,,,,,,,,,
domain_summary,rim_one_dl,disc,50,native pixels,0,0.0736861,0.0414727,0.0221909,0.125181,0.0390713,0.0231552,0.0103204,0.0678222,176.767,12.3553,161.426,192.109,,,,,,,,,,,
domain_summary,rim_one_dl,cup,50,native pixels,4,0.0173578,0.0140162,-4.55333e-05,0.0347612,0.00927673,0.0076217,-0.000186856,0.0187403,215.97,28.8188,180.186,251.753,,,,,,,,,,,
paired_test,drishti_gs,disc,50,,,,,,,,,,,,,,,single_refuge_canon_val,pooled_120,0.879274,0.785255,-0.0940188,-0.0521165,wilcoxon,182,3.00675e-06,2.70607e-05,True
paired_test,drishti_gs,disc,50,,,,,,,,,,,,,,,single_refuge_zeiss,pooled_120,0.727259,0.785255,0.0579965,0.0580014,wilcoxon,278,0.000352222,0.00246555,True
paired_test,drishti_gs,disc,50,,,,,,,,,,,,,,,single_rim_one_dl,pooled_120,0.12067,0.785255,0.664585,0.71907,wilcoxon,0,1.77636e-15,4.26326e-14,True
paired_test,drishti_gs,cup,50,,,,,,,,,,,,,,,single_refuge_canon_val,pooled_120,0.703331,0.646088,-0.0572432,-0.0585933,wilcoxon,256,0.000136287,0.00109029,True
paired_test,drishti_gs,cup,50,,,,,,,,,,,,,,,single_refuge_zeiss,pooled_120,0.474512,0.646088,0.171576,0.144716,wilcoxon,28,2.63434e-12,4.47837e-11,True
paired_test,drishti_gs,cup,50,,,,,,,,,,,,,,,single_rim_one_dl,pooled_120,0.415684,0.646088,0.230404,0.215781,wilcoxon,45,2.9944e-11,4.79105e-10,True
paired_test,refuge_canon_val,disc,50,,,,,,,,,,,,,,,single_drishti_gs,pooled_120,0.858207,0.837014,-0.0211929,-0.000166231,wilcoxon,467,0.10111,0.404439,False
